# http://127.0.0.1:7696 --workers 10 --loaded-duration-minutes 5 --output-dir run1
# {"appUrl":"http://127.0.0.1:7696","debugLog":false,"loadedDurationMinutes":5.0,"logLevel":"WARN","outputDir":"run1","overwriteOutput":false,"recordingPath":"recording.log","workers":10}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
39,8,3,WS_SEND_START,1607700559516,36,
39,8,3,WS_SEND_END,1607700559516,36,
39,8,3,PLAYBACK_SLEEPBEFORE_START,1607700559516,37,
39,8,3,PLAYBACK_SLEEPBEFORE_END,1607700560077,37,
39,8,3,WS_SEND_START,1607700560077,37,
39,8,3,WS_SEND_END,1607700560077,37,
39,8,3,PLAYBACK_SLEEPBEFORE_START,1607700560077,38,
39,8,3,PLAYBACK_SLEEPBEFORE_END,1607700560133,38,
39,8,3,WS_SEND_START,1607700560133,38,
39,8,3,WS_SEND_END,1607700560133,38,
39,8,3,PLAYBACK_SLEEPBEFORE_START,1607700560133,39,
39,8,3,PLAYBACK_SLEEPBEFORE_END,1607700562232,39,
39,8,3,WS_SEND_START,1607700562232,39,
39,8,3,WS_SEND_END,1607700562232,39,
39,8,3,WS_RECV_START,1607700562232,40,
39,8,3,WS_RECV_END,1607700569546,40,
39,8,3,PLAYBACK_SLEEPBEFORE_START,1607700569546,41,
39,8,3,PLAYBACK_SLEEPBEFORE_END,1607700570168,41,
39,8,3,WS_SEND_START,1607700570168,41,
39,8,3,WS_SEND_END,1607700570168,41,
39,8,3,PLAYBACK_SLEEPBEFORE_START,1607700570168,42,
39,8,3,PLAYBACK_SLEEPBEFORE_END,1607700571669,42,
39,8,3,WS_SEND_START,1607700571669,42,
39,8,3,WS_SEND_END,1607700571669,42,
39,8,3,WS_RECV_START,1607700571669,43,
39,8,3,WS_RECV_END,1607700575804,43,
39,8,3,PLAYBACK_SLEEPBEFORE_START,1607700575804,44,
39,8,3,PLAYBACK_SLEEPBEFORE_END,1607700576058,44,
39,8,3,WS_SEND_START,1607700576058,44,
39,8,3,WS_SEND_END,1607700576058,44,
39,8,3,PLAYBACK_SLEEPBEFORE_START,1607700576058,45,
39,8,3,PLAYBACK_SLEEPBEFORE_END,1607700582254,45,
39,8,3,WS_CLOSE_START,1607700582254,45,
39,8,3,WS_CLOSE_END,1607700582254,45,
39,8,3,PLAYBACK_DONE,1607700582254,0,
